INFO 2023-01-03 22:08:42,041 basehttp 10924 12224 "GET /static/admin/js/vendor/jquery/jquery.js HTTP/1.1" 200 288580
INFO 2023-01-03 22:08:42,162 basehttp 10924 14968 "GET /static/admin/js/vendor/xregexp/xregexp.js HTTP/1.1" 200 232381
INFO 2023-01-03 22:08:42,190 basehttp 10924 12224 "GET /static/admin/js/filters.js HTTP/1.1" 200 966
INFO 2023-01-03 22:08:42,367 basehttp 10924 12224 "GET /static/admin/img/tooltag-add.svg HTTP/1.1" 200 331
INFO 2023-01-03 22:08:42,370 basehttp 10924 14968 "GET /static/admin/img/sorting-icons.svg HTTP/1.1" 200 1097
WARNING 2023-01-03 22:10:25,410 log 10924 14968 Method Not Allowed: /users/auth/logout/
WARNING 2023-01-03 22:10:25,412 basehttp 10924 14968 "GET /users/auth/logout/ HTTP/1.1" 405 16754
INFO 2023-01-03 22:10:25,459 basehttp 10924 14968 "GET /static/rest_framework/css/bootstrap.min.css HTTP/1.1" 304 0
INFO 2023-01-03 22:10:25,469 basehttp 10924 14968 "GET /static/rest_framework/css/bootstrap-tweaks.css HTTP/1.1" 304 0
INFO 2023-01-03 22:10:25,538 basehttp 10924 10288 "GET /static/rest_framework/css/default.css HTTP/1.1" 304 0
INFO 2023-01-03 22:10:25,538 basehttp 10924 12224 "GET /static/rest_framework/css/prettify.css HTTP/1.1" 304 0
INFO 2023-01-03 22:10:25,538 basehttp 10924 14788 "GET /static/rest_framework/js/jquery-3.5.1.min.js HTTP/1.1" 304 0
INFO 2023-01-03 22:10:25,538 basehttp 10924 14968 "GET /static/rest_framework/js/bootstrap.min.js HTTP/1.1" 304 0
INFO 2023-01-03 22:10:25,538 basehttp 10924 4396 "GET /static/rest_framework/js/ajax-form.js HTTP/1.1" 304 0
INFO 2023-01-03 22:10:25,539 basehttp 10924 14296 "GET /static/rest_framework/js/csrf.js HTTP/1.1" 304 0
INFO 2023-01-03 22:10:25,545 basehttp 10924 12224 "GET /static/rest_framework/js/prettify-min.js HTTP/1.1" 304 0
INFO 2023-01-03 22:10:25,547 basehttp 10924 14788 "GET /static/rest_framework/js/default.js HTTP/1.1" 304 0
INFO 2023-01-03 22:10:25,760 basehttp 10924 14788 "GET /static/rest_framework/img/grid.png HTTP/1.1" 304 0
INFO 2023-01-03 22:10:30,364 basehttp 10924 14788 "POST /users/auth/logout/ HTTP/1.1" 200 16725
INFO 2023-01-03 22:10:30,703 basehttp 10924 14788 "GET /__debug__/history_sidebar/?store_id=43fc4aaf1a9a4e879197a99adc0c8170 HTTP/1.1" 200 9878
INFO 2023-01-03 22:10:35,817 basehttp 10924 14788 "GET /admin/authtoken/tokenproxy/ HTTP/1.1" 302 0
INFO 2023-01-03 22:10:35,889 basehttp 10924 14788 "GET /admin/login/?next=/admin/authtoken/tokenproxy/ HTTP/1.1" 200 11976
